,length,condition,lat,lon,intersection,model_type,id,road
964,23.5,A,21.2738921701807,92.1044785698795,,bridge,10964,N1
965,281.0000000000059,NaN,21.27275190547185,92.1050428269076,,link,10965,N1
966,23.5,A,21.271611640763,92.1056070839357,,bridge,10966,N1
967,602.9999999999518,NaN,21.2696264566121,92.1073800376649,,link,10967,N1
968,11.1,C,21.2676412724612,92.1091529913941,,bridge,10968,N1
969,94.00000000005093,NaN,21.2673874077452,92.10951252117036,,link,10969,N1
970,50.6,C,21.2671335430292,92.1098720509466,,bridge,10970,N1
971,286.9999999999777,NaN,21.26635844543885,92.11096976419961,,link,10971,N1
972,11.5,C,21.2655833478485,92.1120674774526,,bridge,10972,N1
973,954.0000000000077,NaN,21.262815358819353,92.1155267825025,,link,10973,N1
974,6.6,C,21.2600473697902,92.1189860875524,,bridge,10974,N1
975,240.99999999998545,NaN,21.259335796223752,92.119852035944,,link,10975,N1
976,2.4,A,21.2586242226573,92.1207179843356,,bridge,10976,N1
977,249.00000000002365,NaN,21.2578396595429,92.1215672439535,,link,10977,N1
978,17.0,A,21.2570550964285,92.1224165035714,,bridge,10978,N1
979,298.9999999999782,NaN,21.256130765787447,92.12340185722499,,link,10979,N1
980,2.4,A,21.2552064351464,92.1243872108786,,bridge,10980,N1
981,274.0000000000009,NaN,21.254504617573197,92.1254921504393,,link,10981,N1
982,11.1,C,21.2538028,92.12659709,,bridge,10982,N1
983,447.9999999999791,NaN,21.25212825,92.128673195,,link,10983,N1
984,8.5,C,21.2504537,92.1307493,,bridge,10984,N1
985,546.0000000000491,NaN,21.24970909359795,92.1317951956466,,link,10985,N1
986,2.4,C,21.2489644871959,92.1328410912932,,bridge,10986,N1
987,449.99999999998863,NaN,21.2473453732646,92.13507264931326,,link,10987,N1
988,20.7,B,21.2457262593333,92.1373042073333,,bridge,10988,N1
